route,n_days,n_real_days,n_interp_days,y_min,y_mean,y_max,y_std
ATL_BOS,217,217,0,93.6,131.34544,328.6,41.381935
ATL_CLT,217,217,0,98.6,146.04701,398.6,63.194794
ATL_DEN,217,217,0,63.99,95.24798,273.99,31.32531
ATL_DFW,217,217,0,38.59,63.202534,168.59,26.896027
ATL_DTW,217,217,0,38.59,53.562073,195.59,26.229624
ATL_EWR,217,217,0,43.59,65.12023,368.74,38.022385
ATL_IAD,217,217,0,88.6,111.35586,258.6,30.990314
ATL_JFK,217,217,0,68.6,95.61848,478.6,47.947044
ATL_LAX,217,217,0,118.59,168.62299,359.59,52.079025
ATL_LGA,217,217,0,53.98,75.5059,408.99,40.946194
ATL_MIA,217,217,0,31.59,43.534332,178.6,17.804228
ATL_ORD,217,217,0,38.59,69.50954,190.6,36.83022
ATL_PHL,217,217,0,30.98,52.2988,338.61,39.21741
ATL_SFO,217,217,0,98.6,235.68562,558.6,116.94572
BOS_ATL,217,217,0,93.6,128.286,278.6,36.79239
BOS_CLT,217,217,0,78.6,98.36981,353.6,37.266914
BOS_DEN,217,217,0,118.6,183.42207,318.6,49.99645
BOS_DFW,217,217,0,108.6,152.97545,448.6,45.807728
BOS_DTW,217,217,0,78.6,102.97378,248.6,27.706976
BOS_EWR,217,217,0,43.6,55.438705,178.6,16.012922
BOS_JFK,217,217,0,53.6,62.627647,268.6,23.454432
BOS_LAX,217,217,0,131.6,196.38641,399.6,59.723312
BOS_MIA,217,217,0,43.59,57.579678,356.59,28.770649
BOS_LGA,217,217,0,43.6,58.73364,278.6,22.249128
BOS_ORD,217,217,0,68.6,84.76516,318.6,26.993462
BOS_PHL,217,217,0,43.98,62.919353,213.6,26.22828
CLT_IAD,217,217,0,69.1,103.17927,205.1,23.218056
BOS_SFO,217,217,0,128.6,196.36552,424.61,65.42187
CLT_ATL,217,217,0,97.1,144.27512,397.1,63.251022
CLT_BOS,217,217,0,72.1,91.5235,277.1,33.75105
CLT_DEN,217,217,0,92.49,125.143684,238.49,32.79184
CLT_DFW,217,217,0,161.1,196.68982,331.1,41.600132
CLT_DTW,217,217,0,197.1,211.40872,447.1,49.520676
CLT_EWR,217,217,0,110.1,142.88383,307.1,30.78632
CLT_MIA,217,217,0,127.1,222.56534,307.1,67.50467
CLT_JFK,217,217,0,110.1,151.04008,397.1,54.27793
CLT_LAX,217,217,0,185.1,292.53506,407.1,70.032875
CLT_LGA,217,217,0,110.1,149.65775,397.1,54.662724
CLT_PHL,217,217,0,32.47,57.972904,142.49,19.147638
CLT_ORD,217,217,0,101.1,132.8454,267.1,25.957811
DEN_BOS,217,217,0,127.6,196.06287,358.6,52.032513
DEN_ATL,217,217,0,73.98,98.79147,285.6,31.479294
DFW_LGA,217,217,0,87.0,96.36013,316.59,23.1
DFW_CLT,217,217,0,162.6,197.68306,333.6,40.098034
DEN_CLT,217,217,0,93.99,126.50945,296.61,36.72468
DEN_DFW,217,217,0,43.98,66.9318,192.99,21.20394
DEN_DTW,217,217,0,78.6,124.18309,296.61,47.757195
DEN_EWR,217,217,0,103.6,160.19572,408.6,54.053116
DEN_IAD,217,217,0,98.6,169.46677,488.6,67.0831
DEN_JFK,217,217,0,98.6,125.36153,218.6,28.32333
DEN_LAX,217,217,0,53.99,64.46936,238.6,17.918772
DEN_LGA,217,217,0,98.6,135.96544,358.6,38.470783
DEN_MIA,217,217,0,43.59,74.907005,361.6,42.098133
DEN_ORD,217,217,0,78.6,127.34189,244.6,45.170166
DEN_SFO,217,217,0,53.99,85.15549,232.6,30.988255
DEN_PHL,217,217,0,77.98,137.19014,418.6,57.770306
DFW_ATL,217,217,0,42.98,66.311615,168.59,26.65852
DFW_BOS,217,217,0,128.6,172.29176,448.6,47.8541
DFW_SFO,217,217,0,83.6,118.31175,358.6,47.34346
DFW_MIA,217,217,0,43.59,70.04691,296.61,35.668232
DFW_DEN,217,217,0,43.98,64.96097,192.99,22.080246
DFW_DTW,217,217,0,81.59,129.66635,324.6,60.510857
DFW_EWR,217,217,0,68.6,114.01548,408.6,49.29684
DFW_IAD,217,217,0,118.6,173.27374,348.6,51.29094
DFW_JFK,217,217,0,77.6,104.13415,396.81,42.05979
DFW_LAX,217,217,0,60.59,86.03502,296.61,36.31203
DTW_BOS,217,217,0,78.6,92.64152,258.6,26.318567
DTW_ATL,217,217,0,33.97,50.263687,165.59,22.661316
DFW_ORD,217,217,0,50.59,83.783264,244.6,33.97788
DFW_PHL,217,217,0,43.59,97.82382,568.6,70.33774
DTW_CLT,217,217,0,198.6,212.8166,448.6,49.52865
DTW_EWR,217,217,0,92.6,107.3235,308.6,33.089207
DTW_DFW,217,217,0,76.59,121.66134,324.6,55.181404
DTW_DEN,217,217,0,78.6,130.8801,296.61,48.73737
SFO_LAX,217,217,0,43.6,50.003178,164.6,16.076698
SFO_MIA,217,217,0,193.6,287.3474,598.61,73.796974
SFO_ATL,217,217,0,103.99,240.1629,558.6,120.13636
DTW_IAD,217,217,0,70.6,95.237,238.6,26.236115
