route,proxy_fare_mean,no_competition_mean_price,no_competition_expected_sales,no_competition_revenue,competition_mean_price,competition_expected_sales,competition_revenue
ATL_BOS,131.3454,85.3745,9.6000,819.5956,85.3745,14.5840,1245.1023
ATL_CLT,146.0470,94.9306,9.6000,911.3334,94.9306,14.5840,1384.4673
ATL_DEN,95.2480,61.9112,9.6000,594.3474,61.9112,14.5840,902.9128
ATL_DFW,63.2025,41.0816,9.6000,394.3838,41.0816,14.5840,599.1348
ATL_DTW,53.5621,34.8153,9.6000,334.2273,34.8153,14.5840,507.7470
ATL_EWR,65.1202,42.3282,9.6000,406.3502,42.3282,13.7015,579.9571
ATL_IAD,111.3559,72.3813,9.6000,694.8606,72.3813,14.5840,1055.6090
ATL_JFK,95.6185,62.1520,9.6000,596.6593,62.1520,14.5840,906.4250
ATL_LAX,168.6230,109.6049,9.6000,1052.2075,109.6049,14.5840,1598.4785
ATL_LGA,75.5059,49.0788,9.6000,471.1568,49.0788,14.5840,715.7657
ATL_MIA,43.5343,28.2973,9.6000,271.6542,28.2973,14.5840,412.6881
ATL_ORD,69.5095,45.1812,9.6000,433.7395,45.1812,14.5840,658.9227
ATL_PHL,52.2988,33.9942,9.6000,326.3445,34.2557,12.0000,411.0686
ATL_SFO,235.6856,153.1957,9.6000,1470.6783,153.1957,14.5840,2234.2055
BOS_ATL,128.2860,83.3859,9.6000,800.5047,83.3859,14.5840,1216.1000
BOS_CLT,98.3698,63.9404,9.6000,613.8276,63.9404,14.5840,932.5065
BOS_DEN,183.4221,119.2243,9.6000,1144.5537,119.2243,14.5840,1738.7679
BOS_DFW,152.9754,99.4340,9.6000,954.5668,99.4340,14.5840,1450.1461
BOS_DTW,102.9738,66.9330,9.6000,642.5564,66.9330,14.5840,976.1503
BOS_EWR,55.4387,36.0352,9.6000,345.9375,36.0352,14.5840,525.5368
